Name,Date,Ep_Count,Age_Rating,Cast,Network,Genres,Tags,Score
Move to Heaven,2021,10,18+,"['Lee Je Hoon', 'Tang Jun Sang', 'Hong Seung Hee', 'Jung Suk Yong', 'Jung Young Joo', 'Lee Moon Shik']",Netflix,"['Life', 'Drama', 'Family']","['Uncle-Nephew Relationship', 'Autism', 'Death', 'Savant Syndrome', 'Mourning', 'Tearjerker', 'Life Lesson', 'Ex-convict', 'Cleaning And Organizing', 'Asperger’s Syndrome', '(Vote or add tags)']",9.2
Flower of Evil,2020,16,15+,"['Lee Joon Gi', 'Moon Chae Won', 'Jang Hee Jin', 'Seo Hyun Woo', 'Nam Ki Ae', 'Son Jong Hak']",tvN,"['Thriller', 'Romance', 'Crime', 'Melodrama']","['Married Couple', 'Deception', 'Family Secret', 'Mystery', 'Suspense', 'Smart Female Lead', 'Hidden Personality', 'Antisocial Personality Disorder', 'Investigation', 'Serial Killer', '(Vote or add tags)']",9.1
Hospital Playlist,2020,12,15+,"['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho', 'Kim Dae Myung', 'Jeon Mi Do', 'Shin Hyun Bin']","Netflix,  tvN","['Friendship', 'Romance', 'Life', 'Medical']","['Multiple Mains', 'Best Friends', 'Slow Romance', 'Multiple Couples', 'Strong Female Lead', 'Slight Romance', 'Nice Male Lead', 'Bromance', 'Nice Female Lead', 'Heartfelt', '(Vote or add tags)']",9.1
Hospital Playlist 2,2021,12,15+,"['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho', 'Kim Dae Myung', 'Jeon Mi Do', 'Shin Hyun Bin']","Netflix,  tvN","['Friendship', 'Romance', 'Life', 'Medical']","['Workplace', 'Strong Friendship', 'Best Friends', 'Multiple Mains', 'Band', 'Music', 'Strong Female Lead', 'Multiple Couples', 'Comedy', 'Hidden Relationship', '(Vote or add tags)']",9.1
My Mister,2018,16,15+,"['Lee Sun Kyun', 'IU', 'Park Ho San', 'Song Sae Byuk', 'Lee Ji Ah', 'Kim Young Min']",tvN,"['Psychological', 'Life', 'Drama', 'Family']","['Nice Male Lead', 'Strong Female Lead', 'Smart Female Lead', 'Healing', 'Depression', 'Poor Female Lead', 'Workplace', 'Infidelity', 'Hardworking Female Lead', 'Power Struggle', '(Vote or add tags)']",9.1
Prison Playbook,2017,16,15+,"['Park Hae Soo', 'Jung Kyung Ho', 'Krystal Jung', 'Im Hwa Young', 'Ye Soo Jung', 'Kim Kyung Nam']","Netflix,  tvN","['Comedy', 'Crime', 'Life', 'Drama']","['Prison', 'Bromance', 'Wrongfully Accused', 'Life Lesson', 'Slight Romance', 'Strong Male Lead', 'Character Development', 'Baseball', 'Murder', 'Black Comedy', '(Vote or add tags)']",9.0
Reply 1988,2015,20,15+,"['Lee Hye Ri', 'Go Kyung Pyo', 'Ryu Joon Yeol', 'Park Bo Gum', 'Lee Dong Hwi', 'Sung Dong Il']",tvN,"['Comedy', 'Romance', 'Life', 'Youth']","['Neighbors', 'Childhood Friends', 'Multiple Couples', 'Nostalgia', 'Poor Family', 'Love Triangle', 'Best Friends', 'Heartfelt', 'High School', 'Mother-Son Relationship', '(Vote or add tags)']",9.0
Mr. Queen,2020,20,15+,"['Shin Hye Sun', 'Kim Jung Hyun', 'Bae Jong Ok', 'Kim Tae Woo', 'Jo Yun Hee', 'Seol In Ah']",tvN,"['Historical', 'Comedy', 'Romance', 'Fantasy']","['Transmigration', 'Calm Male Lead', 'Joseon Dynasty', 'Time Travel', 'Sassy Female Lead', 'Smart Male Lead', 'Gender Swap', 'Body Swap', 'Eccentric Female Lead', 'Power Struggle', '(Vote or add tags)']",9.0
It's Okay to Not Be Okay,2020,16,15+,"['Kim Soo Hyun', 'Seo Yea Ji', 'Oh Jung Se', 'Park Gyu Young', 'Jang Young Nam', 'Kim Chang Wan']","Netflix,  tvN","['Psychological', 'Comedy', 'Romance', 'Drama']","['Melodrama', 'Mental Health', 'Independent Female Lead', 'Emotionally Wounded', 'Successful Female Lead', 'Healing', 'Selfless Male Lead', 'Badass Female Lead', 'Psychiatry', 'Childhood Connection', '(Vote or add tags)']",9.0
Mother,2018,16,15+,"['Lee Bo Young', 'Heo Yool', 'Lee Hye Young', 'Go Sung Hee', 'Lee Jae Yoon', 'Go Bo Gyeol']",tvN,"['Thriller', 'Mystery', 'Psychological', 'Melodrama']","['Mother-Daughter Relationship', 'Independent Female Lead', 'Smart Female Lead', 'Child Abuse', 'Adoption', 'Strong Female Lead', 'Suspense', 'Orphan Female Lead', 'Motherhood', 'Investigation', '(Vote or add tags)']",9.0
Crash Landing on You,2019,16,15+,"['Hyun Bin', 'Son Ye Jin', 'Seo Ji Hye', 'Kim Jung Hyun', 'Yang Kyung Won', 'Lee Shin Young']","Netflix,  tvN","['Military', 'Comedy', 'Romance', 'Political']","['North And South Korea', 'Star Crossed Lovers', 'Strong Male Lead', 'Rich Female Lead', 'Fate', 'North Korean', 'Soldier', 'Nice Male Lead', 'Calm Male Lead', 'Friendship', '(Vote or add tags)']",9.0
Navillera,2021,12,15+,"['Park In Hwan', 'Song Kang', 'Na Moon Hee', 'Hong Seung Hee', 'Kim Tae Hoon', 'Yoon  Ji Hye']","Netflix,  tvN","['Friendship', 'Life', 'Drama', 'Family']","['Ballet', 'Dream', 'Life Lesson', 'Unusual Friendship', 'Adapted From A Webtoon', 'Second Chance', 'Father-Son Relationship', 'Character Development', 'Grandpa-Granddaughter Relationship', 'Married Couple', '(Vote or add tags)']",9.0
Signal,2016,16,15+,"['Lee Je Hoon', 'Kim Hye Soo', 'Jo Jin Woong', 'Kim Won Hae', 'Lee Yoo Joon', 'Jang Hyun Sung']",tvN,"['Thriller', 'Mystery', 'Sci-Fi']","['Different Timelines', 'Hwaseong Serial Murders', 'Murder', 'Criminal Profiler', 'Serial Killer', 'Investigation', 'Death', 'Tragic Past', 'Corruption', 'Suspense', '(Vote or add tags)']",9.0
Vincenzo,2021,20,15+,"['Song Joong Ki', 'Jeon Yeo Been', 'Ok Taec Yeon', 'Kim Yeo Jin', 'Jo Han Chul', 'Kwak Dong Yeon']","Netflix,  tvN","['Comedy', 'Law', 'Crime', 'Drama']","['Revenge', 'Mafia', 'Smart Male Lead', 'Eccentric Female Lead', 'Injustice', 'Bromance', 'Father-Daughter Relationship', 'Badass Male Lead', 'Smart Female Lead', 'Suspense', '(Vote or add tags)']",9.0
Happiness,2021,12,15+,"['Han Hyo Joo', 'Park Hyung Sik', 'Jo  Woo Jin', 'Lee Joon Hyuk', 'Park Joo Hee', 'Baek Hyun Jin']",tvN,"['Action', 'Thriller', 'Drama', 'Sci-Fi']","['Disease', 'Strong Female Lead', 'Virus', 'Survival', 'Smart Male Lead', 'Slow Burn Romance', 'Fake Marriage', 'Discrimination', 'Infectious Disease', 'Illness', '(Vote or add tags)']",8.9
Kingdom: Season 2,2020,6,18+,"['Joo Ji Hoon', 'Bae Doo Na', 'Kim Sung Gyu', 'Ryu Seung Ryong', 'Kim  Sang Ho', 'Jun Suk Ho']",Netflix,"['Thriller', 'Historical', 'Horror', 'Supernatural']","['Zombies', 'Corruption', 'Strong Male Lead', 'Gore', 'Strong Female Lead', 'Power Struggle', 'Smart Female Lead', 'Death', 'Greed', 'Joseon Dynasty', '(Vote or add tags)']",8.9
Mr. Sunshine,2018,24,15+,"['Lee Byung Hun', 'Kim Tae Ri', 'Yoo Yeon Seok', 'Byun Yo Han', 'Kim Min Jung', 'Kim Gab Soo']","Netflix,  tvN","['Military', 'Historical', 'Romance', 'Melodrama']","['Strong Male Lead', 'Independent Female Lead', 'Strong Female Lead', 'Smart Male Lead', 'Bromance', 'Gun Violence', 'Female Lead Action Scenes', 'Rebellion', 'Japanese Colonial Rule', 'Sword-fight', '(Vote or add tags)']",8.9
SKY Castle,2018,20,15+,"['Yeom Jung Ah', 'Lee Tae Ran', 'Yoon Se Ah', 'Oh Na Ra', 'Kim Seo Hyung', 'Jung Joon Ho']",jTBC,"['Mystery', 'Psychological', 'Drama', 'Family']","['Multiple Mains', 'Social Commentary', 'Family Pressure', 'Medical', 'Social Satire', 'Female Centered Plot', 'Satire', 'Mother-Daughter Relationship', 'Death', 'Social Problems', '(Vote or add tags)']",8.9
Healer,2014,20,15+,"['Ji Chang Wook', 'Park Min Young', 'Yoo Ji Tae', 'Kim  Mi Kyung', 'Park Sang Won', 'Do Ji Won']",KBS2,"['Action', 'Thriller', 'Mystery', 'Romance']","['Double Identity', 'Hidden Identity', 'Smart Male Lead', 'Strong Male Lead', 'Childish Female Lead', 'Fight', 'Sassy Female Lead', 'Hardworking Female Lead', 'Trauma', 'Badass Male Lead', '(Vote or add tags)']",8.9
Tomorrow,2022,16,15+,"['Kim Hee Sun', 'Rowoon', 'Lee Soo Hyuk', 'Yun Ji On', 'Kim Hae Sook', 'Kim Nu Ri']","MBC,  Netflix","['Action', 'Thriller', 'Drama', 'Fantasy']","['Grim Reaper Male Lead', 'Underworld', 'Death', 'Suicide', 'Afterlife', 'Suicide Prevention', 'Grim Reaper Female Lead', 'Attempted Suicide', 'Coma', 'Team Leader Female Lead', '(Vote or add tags)']",8.9
The Red Sleeve,2021,17,15+,"['Lee Jun Ho', 'Lee Se Young', 'Kang Hoon', 'Lee Deok Hwa', 'Park Ji Young', 'Jang Hee Jin']","MBC,  Viki","['Historical', 'Romance', 'Drama', 'Melodrama']","['Biographical', 'Joseon Dynasty', 'Strong Male Lead', 'Smart Female Lead', 'Male Chases Female First', 'Strong Female Lead', 'King Male Lead', 'Power Struggle', 'Trauma', 'Noble Man/Common Woman', '(Vote or add tags)']",8.9
Stranger,2017,16,15+,"['Jo Seung Woo', 'Bae Doo Na', 'Lee Joon Hyuk', 'Yoo Jae Myung', 'Shin Hye Sun', 'Choi Jae Woong']","Netflix,  tvN","['Thriller', 'Mystery', 'Law', 'Drama']","['Suspense', 'Investigation', 'Corruption', 'Crime Solving Duo', 'Murder', 'Calm Male Lead', 'Alexithymia', 'Emotionless Male Lead', 'Strong Female Lead', 'Smart Female Lead', '(Vote or add tags)']",8.9
Twenty-Five Twenty-One,2022,16,15+,"['Kim Tae Ri', 'Nam Joo Hyuk', 'Bona', 'Choi Hyun Wook', 'Lee Joo Myung', 'Seo Jae Hee']","Netflix,  tvN","['Romance', 'Life', 'Youth', 'Drama']","['1990s', 'Coming Of Age', 'Nostalgia', 'Enemies To Friends', 'Fencing', 'Friendship', 'Nice Male Lead', 'IMF Crisis', 'Athlete', 'Competition', '(Vote or add tags)']",8.9
Goblin,2016,16,15+,"['Gong Yoo', 'Kim Go Eun', 'Lee Dong Wook', 'Yoo In Na', 'Yook Sung Jae', 'Lee El']",tvN,"['Comedy', 'Romance', 'Fantasy', 'Melodrama']","['Supernatural', 'Older Man/Younger Woman', 'Interspecies Romance', 'Dokkaebi', 'Fate', 'Bromance', 'Death', 'Heartfelt', 'Tearjerker', 'True Love', '(Vote or add tags)']",8.8
The Uncanny Counter,2020,16,15+,"['Cho Byeong Kyu', 'Yoo  Joon Sang', 'Kim Se Jeong', 'Yeom Hye Ran', 'Ahn Suk Hwan', 'Lee Hong Nae']","Netflix,  OCN","['Action', 'Mystery', 'Drama', 'Supernatural']","['Special Power', 'Righteous Male Lead', 'Evil Spirit', 'Strong Female Lead', 'Multiple Mains', 'Orphan Male Lead', 'Spirit', 'School Bullying', 'Childhood Trauma', 'Nice Male Lead', '(Vote or add tags)']",8.8
Kingdom,2019,6,18+,"['Joo Ji Hoon', 'Ryu Seung Ryong', 'Bae Doo Na', 'Kim Sung Gyu', 'Kim Chan Yi', 'Kim  Sang Ho']",Netflix,"['Thriller', 'Historical', 'Horror', 'Political']","['Joseon Dynasty', 'Adapted From A Webtoon', 'Power Struggle', 'Gore', 'Strong Male Lead', 'Survival', 'Nice Male Lead', 'Corruption', 'Zombies', 'Strong Female Lead', '(Vote or add tags)']",8.8
D.P.,2021,6,15+,"['Jung Hae In', 'Koo Kyo Hwan', 'Kim Sung Kyun', 'Son Seok Koo', 'Hong Kyung', 'Jo Hyun Chul']",Netflix,"['Action', 'Military', 'Comedy', 'Drama']","['Soldier', 'Military Abuse', 'Violence', 'PTSD', 'Bromance', 'Adapted From A Webtoon', 'Sexual Assault', 'Desertion', 'Dark Fiction', 'Harassment', '(Vote or add tags)']",8.8
Weightlifting Fairy Kim Bok Joo,2016,16,15+,"['Lee Sung Kyung', 'Nam Joo Hyuk', 'Lee Jae Yoon', 'Kyung Soo Jin', 'Cho Hye Jung', 'Lee Joo Young']",MBC,"['Comedy', 'Romance', 'Youth', 'Sports']","['Dream', 'Friends To Lovers', 'Weightlifting', 'Strong Female Lead', 'Bantering Relationship', 'Male Chases Female First', 'Tomboy', 'Swimming', 'Sismance', 'Family', '(Vote or add tags)']",8.8
Hometown Cha-Cha-Cha,2021,16,15+,"['Shin Min Ah', 'Kim Seon Ho', 'Lee Sang Yi', 'In Gyo Jin', 'Lee Bong Ryun', 'Jo Han Chul']","Netflix,  tvN","['Comedy', 'Romance', 'Life', 'Drama']","['Kind-hearted Male Lead', 'Nice Male Lead', 'Nice Female Lead', 'Cheerful Male Lead', 'Hardworking Male Lead', 'Hardworking Female Lead', 'Bickering Couple', 'Jack Of All Trades', 'Smart Female Lead', 'Opposites Attract', '(Vote or add tags)']",8.8
The Penthouse: War in Life,2020,21,15+,"['Lee Ji Ah', 'Kim So Yeon', 'Eugene', 'Uhm Ki Joon', 'Bong Tae Kyu', 'Shin Eun Kyung']",SBS,"['Thriller', 'Mystery', 'Drama', 'Family']","['Betrayal', 'Revenge', 'Greed', 'Jealousy', 'Female Centered Plot', 'Married Couple', 'Opera Singer', 'Motherhood', 'Twins', 'School Bullying', '(Vote or add tags)']",8.8
Mouse,2021,20,18+,"['Lee Seung Gi', 'Lee Hee Joon', 'Park Ju Hyun', 'Kyung Soo Jin', 'Woo Ji Hyun', 'Ahn Jae Wook']",tvN,"['Thriller', 'Mystery', 'Psychological', 'Sci-Fi']","['Murder', 'Serial Killer', 'Investigation', 'Character Development', 'Extreme Violence', 'Child Sexual Abuse', 'Flashback To Past', 'Grandma-Granddaughter Relationship', 'Sexual Assault', 'Suspense', '(Vote or add tags)']",8.8
Racket Boys,2021,16,15+,"['Kim Sang Kyung', 'Oh Na Ra', 'Tang Jun Sang', 'Son Sang Yeon', 'Choi Hyun Wook', 'Kim Kang Hoon']","Netflix,  SBS","['Comedy', 'Life', 'Drama', 'Sports']","['Athlete', 'Badminton', 'Boarding House', 'Rural Life', 'Working Mom', 'Tough Female Lead', 'Tough Male Lead', 'Slight Romance', 'Team Mates', 'Multiple Mains', '(Vote or add tags)']",8.8
Our Beloved Summer,2021,16,15+,"['Choi  Woo Shik', 'Kim Da Mi', 'Kim Sung Cheol', 'Roh Jeong Eui', 'Ahn Dong Goo', 'Park Jin Joo']","Netflix,  SBS","['Romance', 'Youth', 'Drama']","['Lovers Reunited', 'High School Sweethearts', 'Healing', 'First Love', 'Flashback To Past', 'Interview', 'Love/Hate Relationship', 'Slice Of Life', 'Coming Of Age', 'Bickering Couple', '(Vote or add tags)']",8.8
Youth of May,2021,12,15+,"['Lee Do Hyun', 'Go Min Si', 'Lee Sang Yi', 'Geum Sae Rok', 'Oh Man Suk', 'Uhm Hyo Sub']",KBS2,"['Historical', 'Romance', 'Youth', 'Drama']","['1980s', 'Rich Man/Poor Woman', 'Gwangju Uprising', 'Strong Female Lead', 'Smart Female Lead', 'Forbidden Love', 'Star Crossed Lovers', 'Tearjerker', 'Nice Male Lead', 'Rich Male Lead', '(Vote or add tags)']",8.8
Life on Mars,2018,16,15+,"['Jung Kyung Ho', 'Park Sung Woong', 'Go Ah Sung', 'Oh Dae Hwan', 'Noh Jong Hyun', 'Jun Suk Ho']",OCN,"['Action', 'Mystery', 'Psychological', 'Comedy']","['1980s', 'Police Procedural', 'Bromance', 'Calm Male Lead', 'Smart Male Lead', 'Strong Friendship', 'Hallucination', 'Strong Female Lead', 'Serial Killer', 'Coma', '(Vote or add tags)']",8.8
The Devil Judge,2021,16,15+,"['Ji Sung', 'Kim Min Jung', 'Park Jin Young', 'Park Gyu Young', 'Jeon Chae Eun', 'Kim Jae Kyung']",tvN,"['Mystery', 'Law', 'Crime', 'Drama']","['Judge', 'Tough Past', 'Dystopia', 'Antihero', 'Bromance', 'Hardworking Male Lead', 'Corruption', 'Strong Female Lead', 'Revenge', 'Rivalry', '(Vote or add tags)']",8.8
Taxi Driver,2021,16,18+,"['Lee Je Hoon', 'Esom', 'Kim Eui Sung', 'Pyo Ye Jin', 'Cha Ji Yeon', 'Jang Hyuk Jin']",SBS,"['Action', 'Thriller', 'Mystery', 'Drama']","['Revenge', 'Adapted From A Webtoon', 'Taxi', 'Strong Male Lead', 'Investigation', 'Secret Organization', 'Smart Female Lead', 'Taxi Driver Male Lead', 'Police Officer Male Lead', 'Prosecutor Female Lead', '(Vote or add tags)']",8.8
Beyond Evil,2021,16,15+,"['Shin Ha Kyun', 'Yeo Jin Goo', 'Choi Dae Hoon', 'Kim Shin Rok', 'Choi Sung Eun', 'Choi Jin Ho']",jTBC,"['Thriller', 'Mystery', 'Psychological', 'Drama']","['Determined Male Lead', 'Investigation', 'Suspense', 'Murder', 'Trauma', 'Psychological Manipulation', 'Smart Male Lead', 'Death', 'Secret', 'Corruption', '(Vote or add tags)']",8.8
Six Flying Dragons,2015,50,15+,"['Yoo Ah In', 'Kim Myung Min', 'Shin Se Kyung', 'Byun Yo Han', 'Yoon Kyun Sang', 'Chun Ho Jin']",SBS,"['Action', 'Historical', 'Drama', 'Political']","['Revolution', 'Power Struggle', 'Political Intrigue', 'Sword-fight', 'Smart Male Lead', 'Taejong', 'Scheme', 'Taejo', 'Goryeo Dynasty', 'Bromance', '(Vote or add tags)']",8.8
The Guest,2018,16,18+,"['Kim Dong Wook', 'Kim Jae Wook', 'Jung Eun Chae', 'Lee Won Jong', 'Park Ho San', 'Ahn Nae Sang']",OCN,"['Thriller', 'Mystery', 'Horror', 'Supernatural']","['Exorcism', 'Death', 'Demon', 'Possessed', 'Shamanism', 'Murder', 'Strong Female Lead', 'Strong Friendship', 'Hot-Tempered Male Lead', 'Ghost-seeing Male Lead', '(Vote or add tags)']",8.7
The Penthouse 2: War in Life,2021,13,15+,"['Kim So Yeon', 'Eugene', 'Lee Ji Ah', 'Uhm Ki Joon', 'Yoon Jong Hoon', 'Shin Eun Kyung']",SBS,"['Thriller', 'Mystery', 'Drama', 'Family']","['Revenge', 'Corruption', 'High Class Society', 'Female Centered Plot', 'Greed', 'Infidelity', 'Murder', 'Married Couple', 'Twins', 'Rich Male Lead', '(Vote or add tags)']",8.7
A Business Proposal,2022,12,15+,"['Ahn Hyo Seop', 'Kim Se Jeong', 'Kim Min Gue', 'Seol In Ah', 'Lee Deok Hwa', 'Choi Byung Chan']","Netflix,  SBS","['Comedy', 'Romance', 'Drama']","['Rich Male Lead', 'Boss-Employee Relationship', 'Secondary Couple', 'Fake Identity', 'Heir', 'Blind Date', 'Contract Relationship', 'Cheerful Female Lead', 'Double Identity', 'Company President (CEO) Male Lead', '(Vote or add tags)']",8.7
18 Again,2020,16,15+,"['Kim Ha Neul', 'Yoon Sang Hyun', 'Lee Do Hyun', 'Roh Jeong Eui', 'Ryeo Un', 'Wi Ha Joon']",jTBC,"['Romance', 'Life', 'Drama', 'Fantasy']","['Second Chance', 'First Love', 'Father-Son Relationship', 'Divorce', 'Remake', 'Married Couple', 'Father-Daughter Relationship', 'Hardworking Female Lead', 'Mother-Daughter Relationship', 'School', '(Vote or add tags)']",8.7
Chicago Typewriter,2017,16,15+,"['Yoo Ah In', 'Im Soo Jung', 'Go Kyung Pyo', 'Kwak Shi Yang', 'Jo  Woo Jin', 'Oh Na Ra']",tvN,"['Comedy', 'Romance', 'Supernatural', 'Political']","['Reincarnation', 'Hardworking Male Lead', 'Hardworking Female Lead', 'Strong Female Lead', 'Successful Male Lead', 'Bromance', 'Flashback To Past', 'Tragic Past', 'Character Development', 'Patriotism', '(Vote or add tags)']",8.7
Dear My Friends,2016,16,15+,"['Go Hyun Jung', 'Kim Hye Ja', 'Na Moon Hee', 'Go Doo Shim', 'Park Won Sook', 'Youn Yuh Jung']",tvN,"['Life', 'Drama', 'Family', 'Melodrama']","['Best Friends', 'Life Lesson', 'Female Centered Plot', 'Mother-Daughter Relationship', 'Mother-Son Relationship', 'Sismance', 'Family Conflict', 'Multiple Couples', 'Age Gap [Drama Life]', 'Age Gap [Real Life]', '(Vote or add tags)']",8.7
While You Were Sleeping,2017,32,15+,"['Bae Suzy', 'Lee Jong Suk', 'Jung Hae In', 'Lee Sang Yeob', 'Hwang Young Hee', 'Shin Jae Ha']",SBS,"['Mystery', 'Romance', 'Drama', 'Fantasy']","['Precognition', 'Nice Male Lead', 'Murder', 'Tragic Past', 'Steamy Kiss', 'First Love', 'Childhood Acquaintance', 'Smart Male Lead', 'Strong Female Lead', 'Healing', '(Vote or add tags)']",8.7
Defendant,2017,18,15+,"['Ji Sung', 'Uhm Ki Joon', 'Kwon Yu Ri', 'Oh Chang Seok', 'Uhm Hyun Kyung', 'Jung Dong Gyu']",SBS,"['Thriller', 'Mystery', 'Law', 'Drama']","['Prison', 'Murder', 'Amnesia', 'Wrongfully Accused', 'Identity Swap', 'Bromance', 'Prisoner', 'Identical Twins', 'Suspense', 'Good Twin/Evil Twin', '(Vote or add tags)']",8.7
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",2019,6,15+,"['Song Joong Ki', 'Jang Dong Gun', 'Kim Ji Won', 'Kim Ok Bin', 'Kim Eui Sung', 'Park Hae Joon']","Netflix,  tvN","['Historical', 'Romance', 'Fantasy', 'Political']","['Twins', 'War', 'Power Struggle', 'Slavery', 'Good Twin/Evil Twin', 'Strong Female Lead', 'Revenge', 'Character Development', 'Father-Daughter Relationship', 'Strong Male Lead', '(Vote or add tags)']",8.7
Sweet Home,2020,10,18+,"['Song Kang', 'Lee Jin Wook', 'Lee Si Young', 'Lee Do Hyun', 'Kim Nam Hee', 'Go Min Si']",Netflix,"['Horror', 'Drama', 'Sci-Fi', 'Supernatural']","['Monsters', 'Gore', 'Survival', 'Character Development', 'Adapted From A Webtoon', 'Supernatural Phenomena', 'Multiple Mains', 'Trauma', 'School Bullying', 'Attempted Suicide', '(Vote or add tags)']",8.7
Dr. Romantic 2,2020,16,15+,"['Han Seok Kyu', 'Ahn Hyo Seop', 'Lee Sung Kyung', 'Kim Joo Heon', 'Shin Dong Wook', 'So Ju Yeon']",SBS,"['Romance', 'Drama', 'Medical', 'Melodrama']","['Character Development', 'Bickering Couple', 'Love/Hate Relationship', 'Smart Female Lead', 'Hardworking Female Lead', 'Healing', 'Nervous Female Lead', 'Slow Burn Romance', 'Rich Woman/Poor Man', 'Friends To Lovers', '(Vote or add tags)']",8.7
Arthdal Chronicles Part 3: The Prelude To All Legends,2019,6,15+,"['Song Joong Ki', 'Jang Dong Gun', 'Kim Ji Won', 'Kim Ok Bin', 'Kim Sung Cheol', 'Kim Eui Sung']","Netflix,  tvN","['Historical', 'Romance', 'Fantasy', 'Political']","['Power Struggle', 'War', 'Supernatural Power', 'Strong Female Lead', 'Identical Twins', 'Curse', 'Revenge', 'Superhuman Strength', 'Pre-produced', 'Snowy Setting', '(Vote or add tags)']",8.7
"Kill Me, Heal Me",2015,20,15+,"['Ji Sung', 'Hwang Jung Eum', 'Park Seo Joon', 'Kim Yoo Ri', 'Oh Min Suk', 'Kim Young Ae']",MBC,"['Psychological', 'Comedy', 'Romance', 'Drama']","['Dissociative Identity Disorder', 'Trauma', 'Boss-Employee Relationship', 'Rich Male Lead', 'Mental Health', 'PTSD', 'Psychiatry', 'Nice Male Lead', 'Mean Male Lead', 'Rich Man/Poor Woman', '(Vote or add tags)']",8.7
My Liberation Notes,2022,16,15+,"['Kim Ji Won', 'Lee Min Ki', 'Son Seok Koo', 'Lee El', 'Lee Ki Woo', 'Chun Ho Jin']","jTBC,  Netflix","['Romance', 'Life', 'Family', 'Melodrama']","['Slow Burn Story', 'Character Development', 'Multiple Mains', 'Loneliness', 'Introverted Female Lead', 'Alcoholic Male Lead', 'Slight Comedy', 'Slow Burn Romance', 'Inner Monologue', 'Alcoholism', '(Vote or add tags)']",8.7
Through the Darkness,2022,12,18+,"['Kim Nam Gil', 'Jin Seon Kyu', 'Kim So Jin', 'Ryeo Un', 'Lee Dae Yeon', 'Kim Won Hae']",SBS,"['Thriller', 'Mystery', 'Crime', 'Drama']","['Investigation', 'Criminal Profiler', 'Serial Killer', 'Murder', 'Calm Male Lead', 'Suspense', '1990s', 'Adapted From A Novel', '2000s', 'Empathic Male Lead', '(Vote or add tags)']",8.7
Misaeng: Incomplete Life,2014,20,15+,"['Im Si Wan', 'Lee Sung Min', 'Kang So Ra', 'Kang Ha Neul', 'Byun Yo Han', 'Kim Dae Myung']",tvN,"['Friendship', 'Business', 'Life', 'Drama']","['Office Worker', 'Workplace Abuse', 'Teamwork', 'Adapted From A Webtoon', 'Hardworking Male Lead', 'Smart Female Lead', 'Strong Female Lead', 'Nice Male Lead', 'Hardworking Female Lead', 'Workplace', '(Vote or add tags)']",8.7
Moon Lovers: Scarlet Heart Ryeo,2016,20,15+,"['Lee Joon Gi', 'IU', 'Kang Ha Neul', 'Hong Jong Hyun', 'Nam Joo Hyuk', 'Byun Baek Hyun']",SBS,"['Historical', 'Romance', 'Fantasy', 'Melodrama']","['Goryeo Dynasty', 'Badass Male Lead', 'Power Struggle', 'Sibling Rivalry', 'Tearjerker', 'Adapted From A Novel', 'Death', 'Time Travel', 'Obsession', 'Throne Successor', '(Vote or add tags)']",8.7
Strong Woman Do Bong Soon,2017,16,15+,"['Park Bo Young', 'Park Hyung Sik', 'Kim Ji Soo', 'Jun Suk Ho', 'Shim Hye Jin', 'Yoo Jae Myung']",jTBC,"['Action', 'Comedy', 'Romance', 'Supernatural']","['Strong Female Lead', 'Female Lead Action Scenes', 'Superhuman Strength', 'Love Triangle', 'Nice Male Lead', 'Rich Man/Poor Woman', 'Workplace', 'Father-Daughter Relationship', 'Gang', 'Boss-Employee Relationship', '(Vote or add tags)']",8.7
My Name,2021,8,18+,"['Han So Hee', 'Park Hee Soon', 'Ahn Bo Hyun', 'Lee Hak Joo', 'Kim  Sang Ho', 'Chang Ryul']",Netflix,"['Action', 'Thriller', 'Mystery', 'Crime']","['Blood', 'Strong Female Lead', 'Revenge', 'Lying', 'Undercover Agent', 'Violence', 'Murder', 'Double Identity', 'Crime Boss', 'Hidden Identity', '(Vote or add tags)']",8.7
The Fiery Priest,2019,40,15+,"['Kim Nam Gil', 'Kim Sung Kyun', 'Lee Ha Nee', 'Go Jun', 'Geum Sae Rok', 'Jeon Sung Woo']",SBS,"['Action', 'Mystery', 'Comedy', 'Crime']","['Badass Male Lead', 'Eccentric Male Lead', 'Sassy Female Lead', 'Bromance', 'Aggressive Male Lead', 'Church', 'Strong Friendship', 'PTSD', 'Sismance', 'Corruption', '(Vote or add tags)']",8.7
Hot Stove League,2019,16,15+,"['Namkoong Min', 'Park Eun Bin', 'Cho Byeong Kyu', 'Oh Jung Se', 'Son Jong Hak', 'Kim Do Hyun']",SBS,"['Drama', 'Sports', 'Melodrama']","['Hardworking Female Lead', 'Baseball', 'Hardworking Male Lead', 'Workplace', 'Teamwork', 'Successful Male Lead', 'Tough Male Lead', 'Corruption', 'Calm Male Lead', 'Competition', '(Vote or add tags)']",8.7
