Name,Date,Ep_Count,Age_Rating,Cast,Network,Genres,Tags,Score
Children of a Lesser God,2018,16,15+,"['Kang Ji Hwan', 'Kim Ok Bin', 'Shim Hee Sub', 'Lee Elijah', 'Han Seo Jin', 'Lee Jae Yong']",OCN,"['Thriller', 'Mystery', 'Supernatural']","['Detective Male Lead', 'Future Seeing Female Lead', 'Smart Male Lead', 'Ghost-seeing Female Lead', 'Murder', 'Cult', 'Investigation', 'Suspense', 'Serial Killer', 'Corruption', '(Vote or add tags)']",8.0
My ID Is Gangnam Beauty,2018,16,15+,"['Im Soo Hyang', 'Cha Eun Woo', 'Jo Woo Ri', 'Kwak Dong Yeon', 'Park Joo Mi', 'Park Sung Geun']",jTBC,"['Psychological', 'Romance', 'Youth', 'Drama']","['Nice Female Lead', 'Beauty Standards', 'College Life', 'Male Chases Female First', 'Nice Male Lead', 'Plastic Surgery', 'Adapted From A Webtoon', 'Female Antagonist', 'School Bullying', 'Childhood Acquaintance', '(Vote or add tags)']",8.0
Save Me 2,2019,16,15+,"['Chun Ho Jin', 'Uhm Tae Goo', 'Esom', 'Kim Young Min', 'Jo Jae Yoon', 'Han Sun Hwa']",OCN,"['Thriller', 'Mystery', 'Psychological']","['Cult', 'Fake Religion', 'Airhead Male Lead', 'Hardworking Female Lead', 'Domestic Abuse', 'Strong Male Lead', 'Church', 'Street Fight', 'Domestic Violence', 'Aggressive Male Lead', '(Vote or add tags)']",8.0
"Please Come Back, Mister",2016,16,15+,"['Rain', 'Oh Yeon Seo', 'Kim In Kwon', 'Kim Soo Ro', 'Lee Min Jung', 'Lee Ha Nee']",SBS,"['Comedy', 'Romance', 'Drama', 'Supernatural']","['Second Chance', 'Body Swap', 'Sismance', 'Reincarnation', 'Bromance', 'Rags To Riches', 'Family Secret', 'Transmigration', 'Melodrama', '(Vote or add tags)']",8.0
Miracle That We Met,2018,18,15+,"['Kim Myung Min', 'Kim Hyun Joo', 'Ra Mi Ran', 'Park Sung Geun', 'Park Keun Rok', 'Lee Moo Saeng']",KBS2,"['Comedy', 'Romance', 'Fantasy', 'Melodrama']","['Rags To Riches', 'Character Development', 'Body Swap', 'Second Chance', 'Spirit', 'Detective Supporting Character', 'Transmigration', '(Vote or add tags)']",8.0
The Lies Within,2019,16,15+,"['Lee Min Ki', 'Lee Yoo Young', 'Lee Joon Hyuk', 'Kim Shi Eun', 'Yoon Jong Seok', 'Ohn Joo Wan']","Netflix,  OCN","['Thriller', 'Mystery', 'Drama']","['Missing Person', 'Political', 'Car Accident', 'Detective Fiction', 'Detective Male Lead', 'Smart Female Lead', 'Smart Male Lead', 'Strong Female Lead', 'Investigation', 'Suspense', '(Vote or add tags)']",8.0
Witch's Romance,2014,16,15+,"['Uhm Jung Hwa', 'Park Seo Joon', 'Han Jae Suk', 'Lee Se Chang', 'Ra Mi Ran', 'Sa Hee']",tvN,"['Business', 'Comedy', 'Romance']","['Older Woman/Younger Man', 'Nice Male Lead', 'Steamy Kiss', 'Ex-Boyfriend Comes Back', 'Warm Man/Cold Woman', 'Male Chases Female First', 'Love Triangle', 'Cheerful Male Lead', 'Cohabitation', 'Boss-Employee Relationship', '(Vote or add tags)']",8.0
Lovestruck in the City,2020,17,15+,"['Ji Chang Wook', 'Kim Ji Won', 'Kim Min Seok', 'So Ju Yeon', 'Ryu Kyung Soo', 'Han Ji Eun']","Daum Kakao TV,  Netflix","['Romance', 'Life', 'Youth', 'Drama']","['Flashback To Past', 'Break Up', 'Multiple Couples', 'Passionate Male Lead', 'Fast Paced Romance', 'Steamy Kiss', 'Multiple Mains', 'Heartbreak', 'Best Friends', 'Secret', '(Vote or add tags)']",8.0
School 2021,2021,16,15+,"['Kim Yo Han', 'Choo Young Woo', 'Jo Yi Hyun', 'Hwang Bo Reum Byeol', 'Kim Kang Min', 'Seo Hee Seon']","KBS2,  Viki","['Romance', 'School', 'Youth', 'Melodrama']","['High School', 'Student', 'Friendship', 'Mature Female Lead', 'Coming Of Age', 'Innocent Male Lead', 'Hardworking Male Lead', 'Dream', 'First Love', 'Multiple Mains', '(Vote or add tags)']",8.0
"That Winter, The Wind Blows",2013,16,15+,"['Jo In Sung', 'Song Hye Kyo', 'Kim Bum', 'Jung Eun Ji', 'Kim Tae Woo', 'Kim Young Hoon']",SBS,"['Romance', 'Crime', 'Melodrama']","['Fake Incest', 'Stolen Identity', 'Star Crossed Lovers', 'Male Chases Female First', 'Playboy Male Lead', 'Deception', 'Hidden Identity', 'Separation At Birth', 'Rich Female Lead', 'Flashback To Past', '(Vote or add tags)']",8.0
Chief of Staff,2019,10,15+,"['Lee Jung Jae', 'Shin Min Ah', 'Kim Gab Soo', 'Lee Elijah', 'Kim Dong Jun', 'Jung Jin Young']","jTBC,  Netflix","['Law', 'Drama', 'Political']","['Corruption', 'Death Of A Mother', 'Assemblyman Male Lead', 'Lawyer Female Lead', 'Competent Female Lead', 'Elections', 'Lawmaker', 'National Assembly', 'Civil Servant', 'Badass Male Lead', '(Vote or add tags)']",8.0
Dinner Mate,2020,32,15+,"['Song Seung Heon', 'Seo Ji Hye', 'Lee Ji Hoon', 'Son Na Eun', 'Ye Ji Won', 'Kim Seo Kyung']","iQiyi,  MBC","['Comedy', 'Romance', 'Life', 'Drama']","['Ex-Boyfriend Comes Back', 'Ex-girlfriend Comes Back', 'Adapted From A Webtoon', 'Love Square', 'Bright Female Lead', 'Strong Female Lead', 'Smart Male Lead', 'Healing', 'Psychiatry', 'Misunderstanding', '(Vote or add tags)']",8.0
Goodbye to Goodbye,2018,40,15+,"['Chae Shi Ra', 'Jo Bo Ah', 'Lee Jun Young', 'Lee Sung Jae', 'Jung Hye Young', 'Jung Woong In']",MBC,"['Romance', 'Life', 'Drama', 'Melodrama']","['Useless Father', 'Motherhood', 'Smart Female Lead', 'Unexpected Pregnancy', 'Depression', 'Childbirth', 'Infidelity', 'Mother-Daughter Relationship', 'Divorce', 'Strong Female Lead', '(Vote or add tags)']",8.0
The Emperor: Owner of the Mask,2017,40,15+,"['Yoo Seung Ho', 'Kim So Hyun', 'Kim Myung Soo', 'Yoon So Hee', 'Heo Joon Ho', 'Park Chul Min']",MBC,"['Historical', 'Romance', 'Drama', 'Political']","['Poison', 'Conspiracy', 'Identity Swap', 'Historical Fiction', 'Nice Female Lead', 'Royalty', 'Death', 'Revenge', 'Nice Male Lead', 'Joseon Dynasty', '(Vote or add tags)']",8.0
Just Dance,2018,16,13+,"['Park Se Wan', 'Jang Dong Yoon', 'Lee Joo Young', 'Joo Hae Eun', 'Shin Do Hyun', 'Lee Yoo Mi']",KBS2,"['Romance', 'Youth', 'Drama', 'Sports']","['Coming Of Age', 'Sismance', 'High School', 'Dance', 'Misunderstanding', 'Snowy Setting', 'Youth Romance', 'Single Mother', 'Nice Female Lead', 'Mistake', '(Vote or add tags)']",8.0
The Queen's Classroom,2013,16,15+,"['Go Hyun Jung', 'Seo Shin Ae', 'Chun Bo Geun', 'Kim Hyang Gi', 'Kim Sae Ron', 'Lee Young Yoo']",MBC,"['School', 'Drama']","['Cold-hearted Female Lead', 'Classmate', 'Child Abuse', '(Vote or add tags)']",8.0
Missing You,2012,21,15+,"['Yoon Eun Hye', 'Park Yoo Chun', 'Yoo Seung Ho', 'Kim So Hyun', 'Yeo Jin Goo', 'Jin Hyuk']",MBC,"['Romance', 'Drama', 'Melodrama']","['Obsession', 'Tragic Past', 'Love Triangle', 'First Love', 'Double Identity', 'Nice Male Lead', 'School Bullying', 'Childish Male Lead', 'Mad Dog', 'Love At First Sight', '(Vote or add tags)']",8.0
Police University,2021,16,15+,"['Cha Tae Hyun', 'Jung Jin Young', 'Krystal Jung', 'Hong Soo Hyun', 'Lee Jong Hyuk', 'Kang Shin Il']",KBS2,"['Mystery', 'Comedy', 'Romance']","['Investigation', 'Teamwork', 'Police Academy', 'University', 'Student', 'Detective', 'Youth', 'Honest Female Lead', 'Orphan Male Lead', 'Father-Son Relationship', '(Vote or add tags)']",8.0
"Seo Yeong, My Daughter",2012,50,15+,"['Chun Ho Jin', 'Lee Bo Young', 'Lee Sang Yoon', 'Park Hae Jin', 'Choi Yoon Young', 'Choi Jung Woo']",KBS2,"['Comedy', 'Romance', 'Family', 'Melodrama']","['Brother-Sister Relationship', 'Father-Daughter Relationship', 'Heir', 'Multiple Couples', 'Rich Man/Poor Woman', 'Warm Man/Cold Woman', 'Cold Man/Warm Woman', 'Love Triangle', 'Soap Opera', 'Slice Of Life', '(Vote or add tags)']",8.0
